,area,count
8,江苏,35
1,北京,32
0,上海,27
11,浙江,15
12,深圳,14
7,广东,10
6,山东,7
5,安徽,6
14,湖南,5
15,福建,5
17,陕西,4
3,四川,4
4,天津,4
16,辽宁,2
10,河南,2
13,湖北,2
9,江西,1
2,吉林,1
18,黑龙江,1
